Directory,Image Pair,Keypoints (Img1),Keypoints (Img2),Matches,Match Ratio (Img1),Match Ratio (Img2),Fundamental Inliers,Inlier Ratio,New Inliers,New Inlier Ratio,Final Decision
drink-machine,image1.JPG - image2.JPG,3607,4707,315,0.08733019129470473,0.06692160611854685,172,0.546031746031746,54,0.313953488372093,Accepted
drink-machine,image1.JPG - image3.JPG,3607,3683,122,0.03382312170779041,0.03312516969861526,18,0.14754098360655737,9,0.5,Rejected
drink-machine,image2.JPG - image3.JPG,4707,3683,368,0.0781814319099214,0.09991854466467553,224,0.6086956521739131,77,0.34375,Accepted
frear-park,image1.JPG - image2.JPG,668,863,152,0.2275449101796407,0.1761297798377752,147,0.9671052631578947,132,0.8979591836734694,Accepted
office,IMG2536.JPG - IMG2537.JPG,667,610,257,0.3853073463268366,0.42131147540983604,222,0.8638132295719845,168,0.7567567567567568,Accepted
office,IMG2536.JPG - IMG2538.JPG,667,751,153,0.22938530734632684,0.20372836218375498,95,0.6209150326797386,57,0.6,Accepted
office,IMG2537.JPG - IMG2538.JPG,610,751,121,0.19836065573770492,0.1611185086551265,78,0.6446280991735537,50,0.6410256410256411,Accepted
tree_mrc,image4.JPG - image1.JPG,5475,6861,127,0.02319634703196347,0.018510421221396296,50,0.3937007874015748,24,0.48,Rejected
tree_mrc,image4.JPG - image2.JPG,5475,7277,260,0.047488584474885846,0.03572900920709084,172,0.6615384615384615,91,0.5290697674418605,Accepted
tree_mrc,image4.JPG - image3.JPG,5475,5997,675,0.1232876712328767,0.11255627813906953,582,0.8622222222222222,492,0.845360824742268,Accepted
tree_mrc,image1.JPG - image2.JPG,6861,7277,1613,0.235096924646553,0.2216572763501443,1535,0.9516429014259145,1377,0.8970684039087948,Accepted
tree_mrc,image1.JPG - image3.JPG,6861,5997,505,0.07360443084098528,0.08420877105219277,400,0.7920792079207921,190,0.475,Accepted
tree_mrc,image2.JPG - image3.JPG,7277,5997,1289,0.17713343410746188,0.21494080373520094,1184,0.9185415050426687,896,0.7567567567567568,Accepted
vcc-entrance,image1.JPG - image2.JPG,2337,4457,964,0.4124946512623021,0.21628898362126991,881,0.9139004149377593,454,0.5153234960272418,Accepted
vcc-entrance,image1.JPG - image3.JPG,2337,491,125,0.05348737697903295,0.2545824847250509,34,0.272,19,0.5588235294117647,Rejected
vcc-entrance,image2.JPG - image3.JPG,4457,491,202,0.0453219654476105,0.41140529531568226,88,0.43564356435643564,65,0.7386363636363636,Accepted
